generation,best_fitness,worst_fitness,mean_fitness,median_fitness,std_fitness,num_modules
1,0.6821083734197406,0.24450364855199191,0.4202955161075704,0.34470224588416887,0.14570848015997243,12
2,0.6821083734197406,0.3976689316714967,0.5066119445517243,0.4618718123922268,0.09740110971386803,12
3,0.8417862805902605,0.4233579392929392,0.5618758075105384,0.4959318243605225,0.12468260883685348,12
4,0.8417862805902605,0.4618718123922268,0.5945104583869808,0.602452524402622,0.10654489369990189,12
5,0.8417862805902605,0.47238285958126613,0.602074969348447,0.602452524402622,0.09843759683027303,12
6,0.8417862805902605,0.5099510741381965,0.6401598669267545,0.6329285924812414,0.0894314672877761,12
7,0.8417862805902605,0.5126503647338286,0.6460729234396067,0.6329285924812414,0.08272079576111793,12
8,0.8417862805902605,0.5721669830054685,0.6642715075258355,0.6364086246492728,0.07279446249671442,12
9,0.8417862805902605,0.5721669830054685,0.6642715075258355,0.6364086246492728,0.07279446249671442,12
10,0.8417862805902605,0.602452524402622,0.6937075335709144,0.6821083734197406,0.06687377294468695,12
11,0.8417862805902605,0.6154127993421759,0.6980126080761145,0.6821083734197406,0.062371889601179176,12
12,0.8417862805902605,0.6154127993421759,0.6980126080761145,0.6821083734197406,0.062371889601179176,12
13,0.8417862805902605,0.6364086246492728,0.7095530445522624,0.6935987937718088,0.05544215639699237,12
14,0.8417862805902605,0.6558800515077078,0.7166158360647721,0.7088897462904851,0.049772473383971026,12
15,0.8417862805902605,0.6558800515077078,0.7166158360647721,0.7088897462904851,0.049772473383971026,12
16,0.8417862805902605,0.6558800515077078,0.7166158360647721,0.7088897462904851,0.049772473383971026,12
17,0.8907644963184178,0.6632040135751378,0.7361895397989978,0.7185486916702039,0.06568165084263891,12
18,0.8907644963184178,0.6632040135751378,0.7361895397989978,0.7185486916702039,0.06568165084263891,12
19,0.8907644963184178,0.666385794973925,0.7388509660722667,0.7185486916702039,0.06327324198412591,12
20,0.8907644963184178,0.6821083734197406,0.7427555634462507,0.7185486916702039,0.060044260381922766,12
21,0.8907644963184178,0.6935987937718088,0.7513918702649575,0.7309465780294848,0.05812246960878984,12
22,0.9093364500118015,0.6951411288543655,0.7693700082849569,0.7317346611096726,0.0696817449204876,14
23,0.9100439728376581,0.7088897462904851,0.787278578616898,0.7458288446996962,0.07566217789590075,14
24,0.9100439728376581,0.713429780714964,0.7905401727179145,0.7478400582494509,0.0730023917207654,14
