generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
0,2.5878358647180884,1.224845802763353,1.0780945332382912,1.122796214360848,0.07326049756280717,0.007182010361977154,0.016671552647686386,0.01519262294440547,0.7589936115946448,0.3187244313241589,0.20658469591225653,0.23368448435822964,0.48962817446252577,0.14676920519043168,0.1433141701500075,0.13105644898148627,0.6427720609372432,8,43887.604054927826,43887.604054927826
1,2.5878358647180884,1.224845802763353,1.0780945332382912,1.122796214360848,0.2934901648363871,0.0276585876553456,0.029458538437505455,0.026959003923957336,0.9277832738235009,0.3896801299255319,0.2588401736964161,0.27926297020155316,0.8128622384480386,0.2876483033917215,0.1901134563789731,0.24340317545254006,0.5692980529812318,8,15146.809017181396,59034.41307210922
2,2.5878358647180884,1.224845802763353,1.0780945332382912,1.122796214360848,0.48962817446252577,0.07813053761931506,0.029458538437505455,0.026959003923957336,1.084187109805918,0.45093601765992475,0.28094363907896613,0.3523074530670273,0.9144050168824884,0.392567539812455,0.24019384759388704,0.33092913218091985,0.5040995686855647,8,15357.85546875,74392.26854085922
3,4.059129665825695,2.460318096145032,1.0780945332382912,1.3100780938346386,0.6905265098249207,0.07813053761931506,0.04683513052803569,0.09538946633382402,1.303621265631847,0.5806291927944794,0.31766339902126206,0.40532867381610527,1.0255222075840718,0.4671534475510166,0.2904059360833431,0.3317240206910603,0.6833849305001902,7,15703.320724010468,90095.58926486969
4,4.059129665825695,2.460318096145032,1.0780945332382912,1.3100780938346386,0.8063791852933047,0.07813053761931506,0.04683513052803569,0.06153589474739421,1.3753082273514496,0.6062065617201134,0.3511044318630034,0.4179972337683327,1.2671474543907753,0.4946171030147071,0.2943389826022965,0.3583702811559156,0.6666641868807875,7,15912.089305877686,106007.67857074738
5,4.059129665825695,2.460318096145032,1.0780945332382912,1.3100780938346386,0.9212594205970113,0.07813053761931506,0.04683513052803569,0.09538946633382402,1.466606606467851,0.6598211481143446,0.3740320825978504,0.43275337575565576,1.3362497520498855,0.5880435746814255,0.2943389826022965,0.34480474645915504,0.6306135805405185,7,16524.23985362053,122531.9184243679
6,4.059129665825695,2.460318096145032,1.941969687062186,1.3100780938346386,0.9964282167792252,0.1847568844354094,0.04683513052803569,0.09538946633382402,1.642359697154444,0.7484134575530744,0.43893468948794445,0.45501155011342526,1.418185574961493,0.6299163287474987,0.29953557614714466,0.37536882785585035,0.6943221639718152,7,15851.265258073807,138383.1836824417
