generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
0,2.828290156251297,0.10439602102009936,0.15352443121052634,0.1623850549566787,0.6115132676258493,1.0602818171018011,1.1148890050152855,1.559279141274625,1.4629357623448938,0.5258664338667606,0.42045246017718524,0.5166168683009478,1.285839194865489,0.49679993094454417,0.35191826891083594,0.5101050404310632,0.5959077491803156,12,10026.172790050507,10026.172790050507
1,3.582286859639278,0.27852444374326973,0.20360426070208246,0.18059820749290553,1.0609591006372472,2.303576631727911,1.1148890050152855,1.559279141274625,1.7715681238772878,0.7136358207285661,0.49516012047318714,0.5627721826755344,1.6158371004793743,0.6780063139459852,0.39697347779576414,0.5530521281541474,0.5943249814617687,13,3271.2553012371063,13297.428091287613
2,3.582286859639278,0.23722940461557465,0.2293961847099972,0.18059820749290553,1.285839194865489,2.303576631727911,1.2690766238917486,1.559279141274625,1.9178086408792336,0.7512960470945657,0.5823667444159036,0.5841458493687646,1.700193088764451,0.6894990635007715,0.5933604374912306,0.55424305508008,0.5573309569104915,13,3463.1240401268005,16760.552131414413
3,3.582286859639278,0.3109515971432417,0.2293961847099972,0.18059820749290553,1.4119621775099802,2.303576631727911,1.2690766238917486,1.559279141274625,2.0459732167545805,0.7785389894629341,0.6324556599617563,0.6349785673298902,1.8681952242175806,0.6894990635007715,0.6382132118669139,0.588412124826659,0.5076881579036652,13,3077.3119139671326,19837.864045381546
4,3.582286859639278,0.3109515971432417,0.2293961847099972,0.18059820749290553,1.600595142153353,2.303576631727911,1.2690766238917486,1.559279141274625,2.1327669480944684,0.8071606024735088,0.6655693960590587,0.6600369495619007,2.0206603791818916,0.7355038551232177,0.6404180272102798,0.6507609080762623,0.47491768243168647,13,3276.1357283592224,23113.99977374077
5,3.582286859639278,0.3109515971432417,0.34598799548400777,0.31788595631327815,1.7053872628585762,2.303576631727911,1.512288415300784,1.559279141274625,2.3292060595382695,0.8762045270849762,0.7600131128833196,0.6929884195699736,2.2305042360068,0.8032147744444718,0.7238476118969057,0.6766710660078281,0.4652491162177602,13,3573.9803614616394,26687.980135202408
6,3.582286859639278,0.41825656900918123,0.3138212245094289,0.31788595631327815,1.9567053147752578,2.303576631727911,1.512288415300784,1.559279141274625,2.428382347208161,0.9323997354567121,0.7628941891643123,0.7330884225871366,2.271315434704759,0.8788585347584249,0.7244671728312869,0.6941894200675638,0.4085542530653926,13,3790.610753297806,30478.590888500214
7,3.582286859639278,0.41825656900918123,0.3138212245094289,0.31788595631327815,2.035848150391403,2.303576631727911,1.512288415300784,1.559279141274625,2.480467324721105,0.93282696204652,0.793305989921684,0.7543343727529008,2.3104267565462977,0.8788585347584249,0.7244671728312869,0.709286129065569,0.38509231914444764,13,3430.1639432907104,33908.754831790924
8,3.79812471961693,0.28754589344644454,0.3138212245094289,0.31788595631327815,2.1264500248868847,2.303576631727911,1.512288415300784,1.559279141274625,2.5734825390216187,0.9281027807001944,0.8454556336937565,0.7999241246276685,2.460496135022259,0.8965326094830938,0.8435428011434012,0.780620681039228,0.42583966908463705,16,3424.470251083374,37333.2250828743
9,3.79812471961693,0.2406914445240003,0.3138212245094289,0.31788595631327815,2.2276803291155374,2.303576631727911,1.8630102329829763,1.559279141274625,2.6423899731299105,0.8645450853581107,0.9295821656961778,0.8482627220756218,2.5690814731620737,0.8162623367435181,0.9412226278741187,0.8248555351281229,0.4216467801572361,16,3525.316443681717,40858.541526556015
10,3.79812471961693,0.2406914445240003,0.3138212245094289,0.31788595631327815,2.2729209449935555,2.303576631727911,1.8630102329829763,1.559279141274625,2.687926859762914,0.8852291134320899,0.9281165250765117,0.8745812212543125,2.581904116125512,0.8162623367435181,0.952050311739864,0.8778795946818521,0.3974488757985692,16,3711.7080676555634,44570.24959421158
11,3.79812471961693,0.2406914445240003,0.3138212245094289,0.31788595631327815,2.303276577134404,2.303576631727911,1.8630102329829763,1.559279141274625,2.736422976639135,0.9195262589408846,0.9353422655821447,0.8815544521161058,2.6257687596328623,0.8936661236966363,0.9412226278741187,0.8835650746717109,0.38770430100094283,16,3564.144901752472,48134.39449596405
12,3.8488923986595642,0.2406914445240003,0.3138212245094289,0.31788595631327815,2.378507122964704,2.303576631727911,1.8630102329829763,1.6612408273224302,2.8418583293422754,0.9285114088999562,0.9999629018277166,0.9133840186146022,2.6286985101632827,0.8875305848014782,0.9901780247501274,0.8999343253135323,0.44102867684796454,8,3085.29909157753,51219.69358754158
13,3.8488923986595642,0.2406914445240003,0.3862851767674771,0.31788595631327815,2.386717041164819,2.303576631727911,1.8630102329829763,1.6612408273224302,2.8943625153968475,0.9366525051823993,1.0394429333708866,0.9182670768435617,2.6863741905587206,0.8960471841063092,1.0691390077310947,0.9184007154508183,0.41492684403740737,8,3675.857852458954,54895.551440000534
14,3.8488923986595642,0.2406914445240003,0.3862851767674771,0.31788595631327815,2.565701371676962,2.303576631727911,1.8630102329829763,1.6612408273224302,2.9799012842814916,0.9544460143620161,1.083434389771528,0.942020880147947,2.80951035429291,0.9140869704585365,1.1122716788136595,0.9254891631676433,0.409468383820139,8,3782.7309136390686,58678.2823536396
15,4.805937660401234,0.2406914445240003,0.22746824106169614,0.22088202271468788,2.573155870005325,3.5102339966219622,1.8630102329829763,1.7790713450786058,3.1008925868135098,1.1130228342032062,1.0262234830941916,0.9616462695161113,2.882777953755408,1.001948179982143,1.0691390077310947,0.9306077576956191,0.5336246680842301,5,3355.0275161266327,62033.309869766235
16,4.805937660401234,0.2406914445240003,0.22746824106169614,0.22088202271468788,2.624050319298197,3.5102339966219622,1.8630102329829763,1.7790713450786058,3.169061904543585,1.1140182200127677,1.0503748732232274,1.0046688113075901,3.032357868708842,0.8960471841063092,1.1122716788136595,0.9953774865025895,0.5376421928990803,5,3581.615570306778,65614.92544007301
17,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.673567076130798,3.5102339966219622,1.8630102329829763,1.7790713450786058,3.285874162984798,1.1682551982609737,1.1188480250581736,0.9987709396656512,3.073878120314747,1.001948179982143,1.151512342351494,1.0198348222292686,0.5134455870126681,5,3264.6180386543274,68879.54347872734
18,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.7248544376102357,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.374107935608101,1.1787808030314813,1.1370724854706784,1.058254647105943,3.2219262900814436,1.001948179982143,1.1720212880088587,1.022238956884995,0.5303914211507075,5,3207.1910560131073,72086.73453474045
19,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.8101105310909102,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.408481764936182,1.1831008526198774,1.1428971201577924,1.0824837921585135,3.314610888004376,1.0138307694662405,1.1720212880088587,1.1177634428754195,0.5100262372854069,5,3900.9732711315155,75987.70780587196
20,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.833651516341409,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.468046191376271,1.223051800458356,1.1659980683336464,1.0789963225842698,3.372065674235106,1.06559200965115,1.1978340716013536,1.1177634428754195,0.5172169253210247,5,3229.9172792434692,79217.62508511543
21,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.882777953755408,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.4791557222762868,1.2118014184814079,1.1799092943381382,1.0874450094567416,3.372065674235106,1.0633008651755638,1.2157405276345845,1.1297654062031126,0.5069486384004375,5,3082.062786579132,82299.68787169456
22,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,2.9892566606753705,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.518090284753166,1.2168025694111682,1.203673930311289,1.0976137850307095,3.3728502685227273,1.0633008651755638,1.2157405276345845,1.146814670813993,0.4768951045545833,5,3816.569401741028,86116.25727343559
23,4.805937660401234,0.4537787591798722,0.22746824106169614,0.22088202271468788,3.0366531863571566,3.5102339966219622,1.8630102329829763,2.0486945691546143,3.568376148591838,1.2783195770246618,1.196943964106077,1.0931126074611002,3.4594600985317356,1.1945881749552292,1.2081457825651556,1.1508391023682059,0.4526861758462209,5,3713.1048069000244,89829.36208033562
