generation,best_fitness,worst_fitness,mean_fitness,median_fitness,std_fitness,num_modules,time_per_generation,total_elapsed_time
1,2.5373985499569605,0.4535221740243157,0.8726178019477548,0.6347517815744644,0.4607809163103923,0,348.57001090049744,1404.4872517585754
2,2.5373985499569605,0.5713444961718755,1.003408997933435,0.9151544521323838,0.39777572305584125,0,376.54249119758606,1781.0297429561615
3,2.5373985499569605,0.6822546459208542,1.138396187046477,1.0126617917356235,0.41361061713756525,0,357.47389554977417,2138.5036385059357
4,2.5373985499569605,0.7633137036451018,1.2033396675957881,1.0494159493207844,0.3909521178447584,0,363.3995728492737,2501.9032113552094
5,2.5373985499569605,0.8657716771601707,1.2580611274660265,1.115167956702503,0.36314120310677256,0,376.4632263183594,2878.3664376735687
6,2.5373985499569605,0.976335205554243,1.3382687544593186,1.1662597662638996,0.3721588328589087,0,378.6783902645111,3257.04482793808
7,2.5373985499569605,1.0494159493207844,1.471895092052068,1.3918881087108186,0.40202684635398367,0,393.0604553222656,3650.1052832603455
8,2.5373985499569605,1.053950251419737,1.5463330044481798,1.5149468417597334,0.42386509306051934,0,391.067902803421,4041.1731860637665
9,2.5373985499569605,1.1662597662638996,1.6292437447508734,1.5211004902121885,0.37555154626255155,0,390.75257682800293,4431.925762891769
10,2.5373985499569605,1.2373299994370095,1.709890907249194,1.6576011093993968,0.3781462247127194,0,410.66745805740356,4842.593220949173
11,2.5373985499569605,1.3918881087108186,1.819912632936899,1.706222353723892,0.38775796136843416,0,391.9238865375519,5234.517107486725
12,2.5373985499569605,1.517085147471851,1.873826279459405,1.7212241884687398,0.3868129649245703,0,392.8281161785126,5627.345223665237
13,2.5373985499569605,1.517085147471851,1.8858528628047568,1.7212241884687398,0.3811010868818509,0,378.01592779159546,6005.361151456833
14,2.5373985499569605,1.6483767822518796,1.9666140388041176,1.7212241884687398,0.3567878202284046,0,421.69280338287354,6427.053954839706
15,2.5373985499569605,1.6576011093993968,1.9974611017366213,1.7212241884687398,0.3648622769113729,0,362.8237693309784,6789.877724170685
