generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
1,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.1560994479578302,0.44587032299863505,0.1834277064511488,0.5268014185080462,1.727361182580229,0.7879640629018297,0.4755514020175212,0.4638457176608782,1.6334334381053868,0.4949950879022204,0.4720138278847567,0.6664245223184095,0.3464894259031956,14,4350.688730478287,17058.428112745285
2,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.471393796813356,0.6864741023807898,0.18053738589959192,0.6043823085329741,1.8818257173816557,0.8809974318540285,0.47915087691450664,0.5216774086131204,1.859371961678503,0.7133534875528547,0.8025280400801064,0.34349043404554186,0.3081716557658756,14,4758.7664539813995,21817.194566726685
3,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.546974349493316,1.1733097317624066,0.19689636625061505,0.17676825148029418,1.950844931747396,0.9125799431877037,0.49416784883697656,0.5440971397227148,1.9032326105543942,0.8122064089916382,0.411874446166725,0.6791517553960309,0.2626040766072888,14,4345.973773241043,26163.168339967728
4,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.7747640029445002,0.9339749709353424,0.3884184515861426,0.4523705804230151,2.084230420897765,1.0005877040258868,0.4997761731054835,0.5838665437663941,2.0788308154667474,0.7835055602923753,0.6350090310485845,0.6603162241257879,0.2230083033373159,14,4545.350761890411,30708.51910185814
5,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.8951321967155916,1.2334178817755932,0.21435481953700944,0.447359495402989,2.1663713339412904,1.0329787347417374,0.5232177008944253,0.6101748983051275,2.1529526796873633,0.94641089158507,0.7066332828629661,0.49990850523932706,0.17296713886735224,14,4718.862293481827,35427.381395339966
6,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,1.9863095944445393,1.049046577967116,0.4136070390839985,0.5236559773934245,2.2177373800086944,1.016375891725252,0.552398703016499,0.6489627852669435,2.17602306579799,1.326741967244848,0.31131659385447374,0.5379645046986684,0.1560222722717063,14,4556.576801538467,39983.95819687843
7,2.628342408587809,1.1117496389152328,1.0334644838717644,0.4831282858008116,2.0587899203997075,0.8634856348689945,0.669880145753294,0.5254241397774189,2.228016394197524,1.0218179385207546,0.5631238772769396,0.6430745783998298,2.17602306579799,1.326741967244848,0.31131659385447374,0.5379645046986684,0.14535627706052914,14,4839.175326824188,44823.13352370262
8,3.3287276502016345,2.597539153993275,0.3894737396825867,0.3417147565257733,2.110581872258279,1.174320233998539,0.2732914117213128,0.6629702265384272,2.312649513497435,1.123375432818034,0.5453850660908502,0.6438890145885503,2.200096226304245,0.7028461180149125,0.912299505418373,0.5849506028709596,0.23538937937022464,12,4663.733503580093,49486.867027282715
