generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
0,4.638337380932042,1.6186718589330502,0.7392567758453806,4.437988031398916,0.11266884925998975,0.011950540269402147,0.024993962147989233,0.030162044927919664,0.9699758491676486,0.3653567580185061,0.1898464288723999,0.41477266227674237,0.4607445118534979,0.21757129975921113,0.11797393652975954,0.12426714998005352,1.0662040532219872,5,32401.043503284454,32401.043503284454
1,4.638337380932042,1.6186718589330502,0.7392567758453806,4.437988031398916,0.26462982415389114,0.03695317356855696,0.015303318206431849,0.04723653152015704,1.147865835118378,0.4467106583922388,0.22684030302620048,0.4743148736999386,0.7988883839310816,0.2661845130146371,0.1633961759645685,0.24406258099313258,0.9996802833377737,5,10053.342146158218,42454.38564944267
2,4.638337380932042,1.6186718589330502,0.7392567758453806,4.437988031398916,0.45097216988854116,0.03695317356855696,0.015303318206431849,0.08679075832151162,1.253230750822855,0.49160152877364893,0.2572540348023405,0.5043751872468656,0.9110712382166595,0.36634336697226844,0.22814106878516344,0.28644147066145886,0.9462058460757922,5,9869.782125234604,52324.16777467728
3,4.638337380932042,1.6186718589330502,0.7392567758453806,4.437988031398916,0.5437569464620686,0.03695317356855696,0.015303318206431849,0.013547911338256152,1.3442823777591115,0.5292285398885678,0.27759315549292424,0.5374606823776199,0.9245610397340347,0.38401295245083356,0.2935505671690529,0.3003660511105485,0.922348751088398,5,10577.700028657913,62901.86780333519
4,4.638337380932042,2.350771054576185,1.2374217896517163,4.437988031398916,0.6191285603189849,0.03695317356855696,0.015303318206431849,0.08679075832151162,1.5130891785211635,0.616974332295494,0.32658075955718574,0.5695340866684844,1.077268155150916,0.39716660835861206,0.2953485789989184,0.30336186086200057,1.0383562117274245,5,11163.587798118591,74065.45560145378
5,5.672755336830063,4.78815119347493,1.2374217896517163,4.437988031398916,0.6703965308147667,0.03695317356855696,0.015303318206431849,0.08679075832151162,1.74473383865214,0.8001252843324621,0.3495915099159928,0.5950170444036859,1.311267109154766,0.4906285970930959,0.300660873413885,0.32349316721041443,1.2363934594465897,8,11578.267132043839,85643.72273349762
6,5.672755336830063,4.78815119347493,1.4814546177960428,4.437988031398916,0.8622589217004459,0.03695317356855696,0.024993962147989233,0.21089872409536553,1.9477937367373188,0.8866279851485132,0.39016781327962485,0.6709979383091815,1.567264404920083,0.6281491875889195,0.300660873413885,0.4747207858884808,1.1567889027001987,8,11445.72947216034,97089.45220565796
7,5.672755336830063,4.78815119347493,1.4814546177960428,4.437988031398916,0.9245610397340347,0.03695317356855696,0.024993962147989233,0.21089872409536553,2.009055929773269,0.9015499538209995,0.42274985026263995,0.6847561256896305,1.6139472422454126,0.667900386265417,0.33049455409662604,0.4747207858884808,1.1318973703394677,8,11786.104193687439,108875.5563993454
8,5.908930756793876,4.78815119347493,2.173991969457603,4.437988031398916,1.077268155150916,0.03695317356855696,0.024993962147989233,0.23535809056224521,2.300754492282482,1.0507268098864286,0.4899189199699931,0.7601087624260604,1.74061122071843,0.7386966082555773,0.33049455409662604,0.5889713187608762,1.2926684451011015,7,10580.699028253555,119456.25542759895
9,5.908930756793876,4.78815119347493,2.173991969457603,4.437988031398916,1.1557582968074938,0.03695317356855696,0.024993962147989233,0.23535809056224521,2.352831260946878,1.0723570933238933,0.5050782525870542,0.77539591503593,1.7726407144536094,0.759411066511202,0.33049455409662604,0.59821710577346,1.2583288696133077,7,11211.334021091461,130667.58944869041
10,5.908930756793876,4.810862623425471,2.173991969457603,4.437988031398916,1.311267109154766,0.03695317356855696,0.024993962147989233,0.23535809056224521,2.5543857233598226,1.250667582231557,0.5356859850694133,0.7680321560588513,1.9028044132696422,0.8941977769045316,0.34208649046082,0.59821710577346,1.3228263628457562,7,10739.284106731415,141406.87355542183
11,5.908930756793876,4.810862623425471,2.173991969457603,4.437988031398916,1.311267109154766,0.03695317356855696,0.024993962147989233,0.23535809056224521,2.5543857233598226,1.250667582231557,0.5356859850694133,0.7680321560588513,1.9028044132696422,0.8941977769045316,0.34208649046082,0.59821710577346,1.3228263628457562,7,10649.814499378204,152056.68805480003
12,5.908930756793876,4.810862623425471,2.173991969457603,4.437988031398916,1.4301954727540052,0.03695317356855696,0.024993962147989233,0.17468535672056085,2.696079647316452,1.3932723803992741,0.5340414574977034,0.7687658094194731,2.073571191500788,0.942299965602715,0.34316987462749793,0.59821710577346,1.3177423479942587,7,11674.968358278275,163731.6564130783
13,5.908930756793876,4.810862623425471,2.173991969457603,4.437988031398916,1.5014462730010525,0.03695317356855696,0.024993962147989233,0.17468535672056085,2.822168194581907,1.4264209306400744,0.5751436285964922,0.8206036353453388,2.4801756511576603,1.0231275916314788,0.4239454950676776,0.7303669669092802,1.2526221357445293,7,10468.481473445892,174200.1378865242
14,6.2961596165728055,4.810862623425471,2.173991969457603,4.437988031398916,1.567264404920083,0.03695317356855696,0.024993962147989233,0.17468535672056085,2.9819919727009645,1.5259077766479658,0.5920986249702807,0.863985571082717,2.5985377136969032,1.0408738152705206,0.514424091955071,0.7394522677311411,1.3739222109599247,8,11440.61203789711,185640.7499244213
15,6.2961596165728055,4.810862623425471,2.173991969457603,4.437988031398916,1.567264404920083,0.03695317356855696,0.024993962147989233,0.17468535672056085,2.9819919727009645,1.5259077766479658,0.5920986249702807,0.863985571082717,2.5985377136969032,1.0408738152705206,0.514424091955071,0.7394522677311411,1.3739222109599247,8,11268.530378341675,196909.28030276299
