generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
1,2.5901517933857905,0.6595774272984765,1.0032188860940787,0.9273554799932354,1.0613866333173363,0.4149442396754642,0.4562755419115553,0.19016685173031683,1.7535673158939586,0.6115224518990943,0.5711661685866823,0.5708786954081827,1.8012434533177262,0.8207549368922379,0.3043423588079495,0.6761461576175388,0.4477070607830531,14,4802.562121391296,17781.184304714203
2,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,1.3754207528884548,0.35916360233125216,0.5372403874268065,0.47901676313039615,2.120018393940461,0.7440488806150876,0.6841209458705816,0.691848567454793,2.067225952872862,1.3457656377736256,0.3047437824437984,0.416716532655438,0.5123417185703629,14,4389.507800102234,22170.692104816437
3,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,1.7494391387992922,0.3303578163899552,0.9024980095268562,0.5165833128824808,2.334017255993174,0.8329083329381766,0.7435490173367894,0.7575599057182086,2.1059740669447384,1.1547035067334976,0.48906797024680077,0.4622025899644403,0.504735842012205,14,4246.752618312836,26417.444723129272
4,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,2.004884386660611,0.7416665260126714,0.6691497450910864,0.5940681155568535,2.40596708399963,0.8565374895989536,0.7848388710458606,0.7645907233548166,2.2548173245310568,1.0036254140485659,0.5138658436374534,0.7373260668450378,0.45722411672383656,14,4495.824426174164,30913.269149303436
5,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,2.07177802447754,0.5762591470319408,0.5690684210683359,0.9264504563772636,2.5786285646084455,0.7865196186548917,0.8998125668005401,0.8922963791530144,2.3581755421048713,0.7962059804217594,0.7423623470382629,0.8196072146448489,0.476879726816559,14,4578.064200878143,35491.33335018158
6,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,2.233552451309643,0.4078199216423058,1.048563707121969,0.7771688225453683,2.746158028269221,0.7773334426965088,0.9639576263328379,1.0048669592398745,2.5901517933857905,0.6595774272984765,1.0032188860940787,0.9273554799932354,0.4628212961412562,14,4604.903058290482,40096.23640847206
7,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,2.3127521744214063,0.5177714727719428,0.9526706280314452,0.8423100736180184,2.900156801657772,0.7836390701196375,1.0085077832940028,1.1080099482441326,2.890608030911778,1.5010643359525517,0.61969952578829,0.7698441691709361,0.43316949525767046,14,4751.576358556747,44847.81276702881
8,3.3935587634132762,0.4450984954635668,1.3519622850503628,1.5964979828993469,2.387094445413243,1.394982145179656,0.3602245544885841,0.6318877457450027,3.037803917382473,0.7957760270603657,1.062504041128301,1.1795238491938072,3.180293099114779,1.3374299193345736,0.6461230858456042,1.1967400939346013,0.38732233885621287,14,4430.826373338699,49278.63914036751
