generation,best_fitness,worst_fitness,mean_fitness,median_fitness,std_fitness,num_modules
1,0.3668974271401989,0.19068295944984995,0.2601106342420991,0.22275151613624852,0.07663620743523011,7
2,0.3668974271401989,0.22275151613624852,0.29882724281601064,0.3068327851715846,0.05911896168514725,7
3,0.3668974271401989,0.22275151613624852,0.29882724281601064,0.3068327851715846,0.05911896168514725,7
4,0.48538482927484056,0.3269157311398337,0.39306599585162433,0.3668974271401989,0.06728897511100441,3
