generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
1,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,1.2320428036217526,0.6678176017144183,0.19148580734100015,0.37273939456633415,1.7355540385672827,0.6156194108635183,0.5658740089621149,0.5540606187416495,1.6608569434218898,0.36820567751778294,1.0206205776752373,0.27203068822886955,0.40398167517831646,12,3483.275823354721,13666.381645917892
2,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,1.3306091434725753,0.41519886250960764,0.47623848270180863,0.43917179826115893,1.8805002710701821,0.6698603542401771,0.6322165515825863,0.5784233652474184,1.7742560327283785,0.8922538193444022,0.42408156038357137,0.45792065300040485,0.36958726840123235,12,3206.512820482254,16872.894466400146
3,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,1.7230055489867948,0.645644011452174,0.7719993478180397,0.3053621897165813,2.102425057909948,0.7437100144236478,0.711557801117469,0.6471572423688311,1.986127580051436,0.4486774486813668,1.0067857746770987,0.5306643566929704,0.31721250328451417,12,3372.230708360672,20245.12517476082
4,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,1.7833828758894699,0.29678685680381195,0.8449471454118404,0.6416488736738174,2.19541709348919,0.7719243738965027,0.7634288999277203,0.6600638196649669,2.116645536778066,0.9235797076357669,0.5913099446193965,0.6017558845229027,0.3059974991695568,12,3576.2358844280243,23821.361059188843
5,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,1.9549436902798227,0.585711065190992,0.9663637677846294,0.40286885730420124,2.289936197674041,0.824492959626442,0.7932860526623374,0.6721571853852617,2.2628673014798326,0.9689515759749607,0.6793769007930855,0.6145388247117863,0.24985939800602705,12,3667.1354818344116,27488.496541023254
6,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,2.0097095161269647,0.6375861435696014,1.2287261095395272,0.14339726301783595,2.352477032874089,0.8459064419576252,0.8152287713030915,0.691341819613373,2.324087421719433,0.7154543991131154,0.8690307913670363,0.7396022312392817,0.23251917138715536,12,3278.7669775485992,30767.263518571854
7,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,2.0634778745599145,0.5950696350391164,0.6323406258523568,0.8360676136684415,2.398876644270842,0.8012667090530585,0.837950926329713,0.7596590088880711,2.324087421719433,0.7154543991131154,0.8690307913670363,0.7396022312392817,0.20466449232583883,12,3776.3711223602295,34543.63464093208
8,2.7251140468123696,1.2603621259031326,1.210995066084731,0.2537568548245059,2.1570779892774685,0.39530613834417366,0.9371233243963953,0.8246485265368997,2.478361118748904,0.827770723409841,0.8632949969574467,0.7872953983816164,2.539300796976225,1.686717083621388,0.398278634283536,0.4543050790713009,0.16927673409877816,12,3020.5368251800537,37564.17146611214
9,2.7369575177311702,1.4223686160304303,0.4689969854602435,0.8455919162404965,2.2628673014798326,0.9689515759749607,0.6793769007930855,0.6145388247117863,2.5264577364312286,0.8845598114612838,0.8522548458448977,0.7896430791250473,2.550503384259925,0.8722988754687196,0.7790394833050678,0.8991650254861379,0.14602365827738403,8,3781.312591075897,41345.484057188034
10,2.819821772602759,0.5027854221278084,1.2658841105047787,1.0511522399701716,2.324087421719433,0.7154543991131154,0.8690307913670363,0.7396022312392817,2.5708701443295703,0.9003428775955364,0.8649088029082831,0.8056184638257502,2.550503384259925,0.8722988754687196,0.7790394833050678,0.8991650254861379,0.13103161427691273,14,3587.5222759246826,44933.00633311272
11,2.819821772602759,0.5027854221278084,1.2658841105047787,1.0511522399701716,2.343772713051546,0.6897717034185268,0.9075882663330044,0.7464127433000151,2.6072570970917286,0.9040674045896974,0.8782992097396419,0.8248904827623885,2.550503384259925,0.8722988754687196,0.7790394833050678,0.8991650254861379,0.11106965977111982,14,3431.314644098282,48364.320977211
12,2.819821772602759,0.5027854221278084,1.2658841105047787,1.0511522399701716,2.512088978499792,0.715657192041951,1.0270285254959415,0.7694032609618997,2.6475228308759786,1.0073355274858224,0.8391861232372065,0.8010011801529494,2.659929318914036,0.8422682086255998,0.8963039940446882,0.921357116243748,0.09295684966144353,14,3193.6579530239105,51557.97893023491
