fitness_total, fitness_flat, fitness_uneven, fitness_crater
1.7514694576470822, 0.5751321777191389, 0.5405065496652296, 0.6358307302627139
2.1984453702800972, 0.6831092207115287, 0.636614062647244, 0.8787220869213247
2.8855567848053263, 1.30684844120032, 0.8906350351323884, 0.6880733084726177
4.379351540183631, 1.2750131532477567, 1.1647296978933785, 1.9396086890424955
2.762684711471568, 1.2649978132371724, 0.772669150287879, 0.7250177479465167
3.70562239750747, 0.609953758246379, 2.2352315968152014, 0.8604370424458896
2.5583966608956756, 0.7435256851462527, 0.9442175193077542, 0.8706534564416689
3.6850591455237796, 0.8112818902454452, 1.4639161191392462, 1.409861136139088
2.9902611708864075, 0.6017138926173805, 1.6222390967972677, 0.7663081814717592
3.3883254082014256, 1.2299905792961254, 0.6065722394809477, 1.5517625894243525
