fitness_total, fitness_flat, fitness_uneven, fitness_crater
2.509628763594601, 0.9233997986859762, 0.49150436457081553, 1.094724600337809
1.9291581081718971, 0.5347998997253451, 0.8528834674031693, 0.5414747410433827
1.7094465968404697, 0.5005512761189941, 0.37639974911498747, 0.832495571606488
3.061976308207635, 1.8259868354234403, 0.390144116746738, 0.8458453560374567
2.5207482362343265, 0.8944183806509284, 0.7103868232437239, 0.915943032339674
2.931251697745145, 0.6561800572901193, 0.9590882360347035, 1.315983404420322
2.326103058543991, 0.9758288281045343, 0.7129266670943079, 0.6373475633451484
1.7722587799322673, 0.5175455877704563, 0.5830262877783638, 0.6716869043834472
1.4182809017013362, 0.5287207612343012, 0.3658646873109379, 0.5236954531560971
1.7682415162803038, 0.5527440075454667, 0.4877209932786848, 0.7277765154561522
